"Cage","Counter","Sample_Order","Date","Week","Temperature","Richness","Composition","AOP2","AOP2.gsoh","Col","gsm1","No_Plants","Mummy_raw","Ptoids_raw","BRBR_Survival","BRBR","LYER_Survival","LYER","Mummy_Ptoids_Survival","Mummy_Ptoids"
"58","DTV","1","2018-06-05","1","23 C","2","Col_AOP2.gsoh","0","1","1","0","8","NA","NA","1","51","1","6","NA","0"
"14","DTV","2","2018-06-05","1","20 C","1","Col","0","0","1","0","8","NA","NA","1","12","1","0","NA","0"
"26","DTV","3","2018-06-05","1","20 C","1","Col","0","0","1","0","8","NA","NA","1","13","1","32","NA","0"
"22","DTV","4","2018-06-05","1","20 C","1","AOP2.gsoh","0","1","0","0","8","NA","NA","1","6","1","0","NA","0"
"56","DTV","5","2018-06-05","1","23 C","1","AOP2.gsoh","0","1","0","0","8","NA","NA","1","30","1","3","NA","0"
"41","DTV","6","2018-06-05","1","23 C","2","Col_AOP2","1","0","1","0","8","NA","NA","1","36","1","5","NA","0"
"8","DTV","7","2018-06-05","1","20 C","2","Col_AOP2.gsoh","0","1","1","0","8","NA","NA","1","55","1","10","NA","0"
"43","DTV","8","2018-06-05","1","23 C","4","Poly","1","1","1","1","8","NA","NA","1","37","1","49","NA","0"
"44","DTV","9","2018-06-05","1","23 C","1","AOP2","1","0","0","0","8","NA","NA","1","39","1","30","NA","0"
"50","DTV","10","2018-06-05","1","23 C","2","Col_AOP2","1","0","1","0","8","NA","NA","1","10","1","0","NA","0"
"11","DTV","11","2018-06-05","1","20 C","2","gsm1_AOP2","1","0","0","1","8","NA","NA","1","34","1","3","NA","0"
"55","DTV","12","2018-06-05","1","23 C","2","Col_AOP2.gsoh","0","1","1","0","8","NA","NA","1","42","1","12","NA","0"
"5","DTV","13","2018-06-05","1","20 C","1","gsm1","0","0","0","1","8","NA","NA","1","1","1","12","NA","0"
"57","DTV","14","2018-06-05","1","23 C","2","AOP2_AOP2.gsoh","1","1","0","0","8","NA","NA","1","39","1","35","NA","0"
"52","DTV","15","2018-06-05","1","23 C","1","AOP2","1","0","0","0","8","NA","NA","1","29","1","0","NA","0"
"42","DTV","16","2018-06-05","1","23 C","2","Col_AOP2","1","0","1","0","8","NA","NA","1","24","1","10","NA","0"
"46","DTV","17","2018-06-05","1","23 C","4","Poly","1","1","1","1","8","NA","NA","1","49","1","16","NA","0"
"12","DTV","18","2018-06-05","1","20 C","4","Poly","1","1","1","1","8","NA","NA","1","22","1","13","NA","0"
"27","DTV","19","2018-06-05","1","20 C","2","Col_AOP2","1","0","1","0","8","NA","NA","1","31","1","14","NA","0"
"49","DTV","20","2018-06-05","1","23 C","2","Col_gsm1","0","0","1","1","8","NA","NA","1","36","1","50","NA","0"
"37","DTV","21","2018-06-05","1","23 C","2","gsm1_AOP2.gsoh","0","1","0","1","8","NA","NA","1","0","1","18","NA","0"
"13","DTV","22","2018-06-05","1","20 C","4","Poly","1","1","1","1","8","NA","NA","1","0","1","14","NA","0"
"36","DTV","23","2018-06-05","1","23 C","2","gsm1_AOP2.gsoh","0","1","0","1","8","NA","NA","1","46","1","63","NA","0"
"7","DTV","24","2018-06-05","1","20 C","4","Poly","1","1","1","1","8","NA","NA","1","23","1","17","NA","0"
"10","DTV","25","2018-06-05","1","20 C","2","gsm1_AOP2.gsoh","0","1","0","1","8","NA","NA","1","34","1","18","NA","0"
"28","DTV","26","2018-06-05","1","20 C","2","Col_AOP2.gsoh","0","1","1","0","8","NA","NA","1","15","1","19","NA","0"
"21","DTV","27","2018-06-05","1","20 C","2","Col_AOP2","1","0","1","0","8","NA","NA","1","35","1","0","NA","0"
"30","DTV","28","2018-06-05","1","20 C","2","Col_gsm1","0","0","1","1","8","NA","NA","1","14","1","2","NA","0"
"54","DTV","29","2018-06-05","1","23 C","1","AOP2.gsoh","0","1","0","0","8","NA","NA","1","12","1","10","NA","0"
"40","DTV","30","2018-06-05","1","23 C","2","gsm1_AOP2.gsoh","0","1","0","1","8","NA","NA","1","32","1","6","NA","0"
"20","DTV","31","2018-06-05","1","20 C","2","gsm1_AOP2","1","0","0","1","8","NA","NA","1","39","1","5","NA","0"
"45","DTV","32","2018-06-05","1","23 C","2","Col_gsm1","0","0","1","1","8","NA","NA","1","41","1","84","NA","0"
"60","DTV","33","2018-06-05","1","23 C","2","gsm1_AOP2","1","0","0","1","8","NA","NA","1","31","1","23","NA","0"
"25","DTV","34","2018-06-05","1","20 C","1","AOP2","1","0","0","0","8","NA","NA","1","7","1","0","NA","0"
"38","DTV","35","2018-06-05","1","23 C","4","Poly","1","1","1","1","8","NA","NA","1","23","1","12","NA","0"
"18","DTV","36","2018-06-05","1","20 C","2","Col_AOP2.gsoh","0","1","1","0","8","NA","NA","1","15","1","9","NA","0"
"51","DTV","37","2018-06-05","1","23 C","1","gsm1","0","0","0","1","8","NA","NA","1","47","1","25","NA","0"
"33","DTV","38","2018-06-05","1","23 C","1","Col","0","0","1","0","8","NA","NA","1","23","1","43","NA","0"
"15","DTV","39","2018-06-05","1","20 C","1","AOP2.gsoh","0","1","0","0","8","NA","NA","1","14","1","0","NA","0"
"23","DTV","40","2018-06-05","1","20 C","2","AOP2_AOP2.gsoh","1","1","0","0","7","NA","NA","1","6","1","0","NA","0"
"2","DTV","41","2018-06-05","1","20 C","4","Poly","1","1","1","1","8","NA","NA","1","47","1","11","NA","0"
"9","DTV","42","2018-06-05","1","20 C","2","Col_gsm1","0","0","1","1","8","NA","NA","1","48","1","11","NA","0"
"24","DTV","43","2018-06-05","1","20 C","1","gsm1","0","0","0","1","8","NA","NA","1","35","1","2","NA","0"
"19","DTV","44","2018-06-05","1","20 C","2","AOP2_AOP2.gsoh","1","1","0","0","8","NA","NA","1","6","1","1","NA","0"
"17","DTV","45","2018-06-05","1","20 C","2","gsm1_AOP2","1","0","0","1","8","NA","NA","1","33","1","3","NA","0"
"39","DTV","46","2018-06-05","1","23 C","1","gsm1","0","0","0","1","8","NA","NA","1","29","1","46","NA","0"
"48","DTV","47","2018-06-05","1","23 C","2","AOP2_AOP2.gsoh","1","1","0","0","8","NA","NA","1","27","1","5","NA","0"
"31","DTV","48","2018-06-05","1","23 C","2","gsm1_AOP2","1","0","0","1","8","NA","NA","1","23","1","32","NA","0"
"4","DTV","49","2018-06-05","1","20 C","1","AOP2","1","0","0","0","8","NA","NA","1","7","1","0","NA","0"
"53","DTV","50","2018-06-05","1","23 C","4","Poly","1","1","1","1","8","NA","NA","1","23","1","8","NA","0"
"47","DTV","51","2018-06-05","1","23 C","2","gsm1_AOP2","1","0","0","1","8","NA","NA","1","25","1","10","NA","0"
"6","DTV","52","2018-06-05","1","20 C","2","Col_AOP2","1","0","1","0","8","NA","NA","1","30","1","13","NA","0"
"35","DTV","53","2018-06-05","1","23 C","2","AOP2_AOP2.gsoh","1","1","0","0","8","NA","NA","1","28","1","8","NA","0"
"34","DTV","54","2018-06-05","1","23 C","2","Col_AOP2.gsoh","0","1","1","0","8","NA","NA","1","24","1","49","NA","0"
"32","DTV","55","2018-06-05","1","23 C","1","Col","0","0","1","0","8","NA","NA","1","38","1","46","NA","0"
"29","DTV","56","2018-06-05","1","20 C","2","gsm1_AOP2.gsoh","0","1","0","1","8","NA","NA","1","23","1","7","NA","0"
"59","DTV","57","2018-06-05","1","23 C","2","Col_gsm1","0","0","1","1","8","NA","NA","1","22","1","43","NA","0"
"3","DTV","58","2018-06-05","1","20 C","2","gsm1_AOP2.gsoh","0","1","0","1","8","NA","NA","1","21","1","25","NA","0"
"1","DTV","59","2018-06-05","1","20 C","2","AOP2_AOP2.gsoh","1","1","0","0","8","NA","NA","1","19","1","0","NA","0"
"16","DTV","60","2018-06-05","1","20 C","2","Col_gsm1","0","0","1","1","8","NA","NA","1","43","1","24","NA","0"
"58","MAB","1","2018-06-05","1","23 C","2","Col_AOP2.gsoh","0","1","1","0","8","NA","NA","1","42","1","12","NA","0"
"14","MAB","2","2018-06-05","1","20 C","1","Col","0","0","1","0","8","NA","NA","1","30","1","5","NA","0"
"26","MAB","3","2018-06-05","1","20 C","1","Col","0","0","1","0","8","NA","NA","1","22","1","41","NA","0"
"22","MAB","4","2018-06-05","1","20 C","1","AOP2.gsoh","0","1","0","0","8","NA","NA","1","17","1","0","NA","0"
"56","MAB","5","2018-06-05","1","23 C","1","AOP2.gsoh","0","1","0","0","8","NA","NA","1","31","1","9","NA","0"
"41","MAB","6","2018-06-05","1","23 C","2","Col_AOP2","1","0","1","0","8","NA","NA","1","23","1","37","NA","0"
"8","MAB","7","2018-06-05","1","20 C","2","Col_AOP2.gsoh","0","1","1","0","8","NA","NA","1","37","1","14","NA","0"
"43","MAB","8","2018-06-05","1","23 C","4","Poly","1","1","1","1","8","NA","NA","1","25","1","32","NA","0"
"44","MAB","9","2018-06-05","1","23 C","1","AOP2","1","0","0","0","8","NA","NA","1","26","1","17","NA","0"
"50","MAB","10","2018-06-05","1","23 C","2","Col_AOP2","1","0","1","0","8","NA","NA","1","17","1","0","NA","0"
"11","MAB","11","2018-06-05","1","20 C","2","gsm1_AOP2","1","0","0","1","8","NA","NA","1","32","1","9","NA","0"
"55","MAB","12","2018-06-05","1","23 C","2","Col_AOP2.gsoh","0","1","1","0","8","NA","NA","1","35","1","28","NA","0"
"5","MAB","13","2018-06-05","1","20 C","1","gsm1","0","0","0","1","8","NA","NA","1","28","1","22","NA","0"
"57","MAB","14","2018-06-05","1","23 C","2","AOP2_AOP2.gsoh","1","1","0","0","8","NA","NA","1","39","1","24","NA","0"
"52","MAB","15","2018-06-05","1","23 C","1","AOP2","1","0","0","0","8","NA","NA","1","23","1","8","NA","0"
"42","MAB","16","2018-06-05","1","23 C","2","Col_AOP2","1","0","1","0","8","NA","NA","1","33","1","21","NA","0"
"46","MAB","17","2018-06-05","1","23 C","4","Poly","1","1","1","1","8","NA","NA","1","49","1","25","NA","0"
"12","MAB","18","2018-06-05","1","20 C","4","Poly","1","1","1","1","8","NA","NA","1","36","1","11","NA","0"
"27","MAB","19","2018-06-05","1","20 C","2","Col_AOP2","1","0","1","0","8","NA","NA","1","25","1","23","NA","0"
"49","MAB","20","2018-06-05","1","23 C","2","Col_gsm1","0","0","1","1","8","NA","NA","1","38","1","54","NA","0"
"37","MAB","21","2018-06-05","1","23 C","2","gsm1_AOP2.gsoh","0","1","0","1","8","NA","NA","1","6","1","23","NA","0"
"13","MAB","22","2018-06-05","1","20 C","4","Poly","1","1","1","1","8","NA","NA","1","14","1","24","NA","0"
"36","MAB","23","2018-06-05","1","23 C","2","gsm1_AOP2.gsoh","0","1","0","1","8","NA","NA","1","29","1","71","NA","0"
"7","MAB","24","2018-06-05","1","20 C","4","Poly","1","1","1","1","8","NA","NA","1","21","1","13","NA","0"
"10","MAB","25","2018-06-05","1","20 C","2","gsm1_AOP2.gsoh","0","1","0","1","8","NA","NA","1","33","1","11","NA","0"
"28","MAB","26","2018-06-05","1","20 C","2","Col_AOP2.gsoh","0","1","1","0","8","NA","NA","1","19","1","24","NA","0"
"21","MAB","27","2018-06-05","1","20 C","2","Col_AOP2","1","0","1","0","8","NA","NA","1","39","1","0","NA","0"
"30","MAB","28","2018-06-05","1","20 C","2","Col_gsm1","0","0","1","1","8","NA","NA","1","23","1","7","NA","0"
"54","MAB","29","2018-06-05","1","23 C","1","AOP2.gsoh","0","1","0","0","8","NA","NA","1","19","1","14","NA","0"
"40","MAB","30","2018-06-05","1","23 C","2","gsm1_AOP2.gsoh","0","1","0","1","8","NA","NA","1","17","1","11","NA","0"
"20","MAB","31","2018-06-05","1","20 C","2","gsm1_AOP2","1","0","0","1","8","NA","NA","1","30","1","11","NA","0"
"45","MAB","32","2018-06-05","1","23 C","2","Col_gsm1","0","0","1","1","8","NA","NA","1","33","1","51","NA","0"
"60","MAB","33","2018-06-05","1","23 C","2","gsm1_AOP2","1","0","0","1","8","NA","NA","1","26","1","27","NA","0"
"25","MAB","34","2018-06-05","1","20 C","1","AOP2","1","0","0","0","8","NA","NA","1","17","1","0","NA","0"
"38","MAB","35","2018-06-05","1","23 C","4","Poly","1","1","1","1","8","NA","NA","1","19","1","16","NA","0"
"18","MAB","36","2018-06-05","1","20 C","2","Col_AOP2.gsoh","0","1","1","0","8","NA","NA","1","28","1","11","NA","0"
"51","MAB","37","2018-06-05","1","23 C","1","gsm1","0","0","0","1","8","NA","NA","1","38","1","34","NA","0"
"33","MAB","38","2018-06-05","1","23 C","1","Col","0","0","1","0","8","NA","NA","1","22","1","45","NA","0"
"15","MAB","39","2018-06-05","1","20 C","1","AOP2.gsoh","0","1","0","0","8","NA","NA","1","14","1","0","NA","0"
"23","MAB","40","2018-06-05","1","20 C","2","AOP2_AOP2.gsoh","1","1","0","0","7","NA","NA","1","10","1","0","NA","0"
"2","MAB","41","2018-06-05","1","20 C","4","Poly","1","1","1","1","8","NA","NA","1","47","1","11","NA","0"
"9","MAB","42","2018-06-05","1","20 C","2","Col_gsm1","0","0","1","1","8","NA","NA","1","33","1","25","NA","0"
"24","MAB","43","2018-06-05","1","20 C","1","gsm1","0","0","0","1","8","NA","NA","1","21","1","16","NA","0"
"19","MAB","44","2018-06-05","1","20 C","2","AOP2_AOP2.gsoh","1","1","0","0","8","NA","NA","1","5","1","5","NA","0"
"17","MAB","45","2018-06-05","1","20 C","2","gsm1_AOP2","1","0","0","1","8","NA","NA","1","21","1","3","NA","0"
"39","MAB","46","2018-06-05","1","23 C","1","gsm1","0","0","0","1","8","NA","NA","1","38","1","36","NA","0"
"48","MAB","47","2018-06-05","1","23 C","2","AOP2_AOP2.gsoh","1","1","0","0","8","NA","NA","1","27","1","1","NA","0"
"31","MAB","48","2018-06-05","1","23 C","2","gsm1_AOP2","1","0","0","1","8","NA","NA","1","24","1","35","NA","0"
"4","MAB","49","2018-06-05","1","20 C","1","AOP2","1","0","0","0","8","NA","NA","1","8","1","5","NA","0"
"53","MAB","50","2018-06-05","1","23 C","4","Poly","1","1","1","1","8","NA","NA","1","15","1","15","NA","0"
"47","MAB","51","2018-06-05","1","23 C","2","gsm1_AOP2","1","0","0","1","8","NA","NA","1","15","1","16","NA","0"
"6","MAB","52","2018-06-05","1","20 C","2","Col_AOP2","1","0","1","0","8","NA","NA","1","24","1","8","NA","0"
"35","MAB","53","2018-06-05","1","23 C","2","AOP2_AOP2.gsoh","1","1","0","0","8","NA","NA","1","24","1","8","NA","0"
"34","MAB","54","2018-06-05","1","23 C","2","Col_AOP2.gsoh","0","1","1","0","8","NA","NA","1","21","1","38","NA","0"
"32","MAB","55","2018-06-05","1","23 C","1","Col","0","0","1","0","8","NA","NA","1","26","1","41","NA","0"
"29","MAB","56","2018-06-05","1","20 C","2","gsm1_AOP2.gsoh","0","1","0","1","8","NA","NA","1","32","1","10","NA","0"
