Cage,BRBR,LYER,Mummy,Ptoids,Counter
3,0,0,0,,DTV
9,0,8,0,,DTV
2,0,0,0,,DTV
18,0,0,0,,DTV
48,0,241,0,,DTV
60,0,0,0,,DTV
19,0,0,0,,DTV
46,0,184,0,,DTV
22,0,74,0,,DTV
38,0,138,0,,DTV
6,0,0,0,,DTV
41,0,258,0,,DTV
40,0,72,0,,DTV
4,0,146,0,,DTV
35,0,77,0,,DTV
50,0,177,163,,DTV
17,0,35,0,,DTV
37,0,146,2,,DTV
5,0,97,0,,DTV
59,0,195,0,,DTV
39,0,43,0,,DTV
51,0,0,0,,DTV
36,0,0,0,,DTV
16,0,6,0,,DTV
7,0,0,0,,DTV
47,0,14,0,,DTV
25,0,0,0,,DTV
24,0,61,0,,DTV
34,0,136,0,,DTV
20,0,86,0,,DTV
26,0,100,0,,DTV
33,0,128,0,,DTV
11,0,0,0,,DTV
23,0,102,0,,DTV
49,0,158,0,,DTV
32,0,21,0,,DTV
29,0,0,0,,DTV
55,0,0,0,,DTV
8,0,0,0,,DTV
14,0,55,0,,DTV
56,0,0,0,,DTV
28,0,122,0,,DTV
42,0,168,0,,DTV
1,0,0,0,,DTV
27,0,0,0,,DTV
44,0,174,0,,DTV
54,0,0,0,,DTV
52,0,191,0,,DTV
12,0,105,1,,DTV
15,0,0,0,,DTV
21,0,132,0,,DTV
58,0,117,10,,DTV
30,0,147,0,,DTV
43,0,260,0,,DTV
10,0,189,0,,DTV
45,0,164,5,,DTV
13,0,112,10,,DTV
57,0,232,0,,DTV
31,0,244,0,,DTV
53,0,39,1,,DTV
