temp,rich,Col,gsm1,AOP2.gsoh,AOP2,com,Cage,Week_match,BRBR_t,LYER_t,Ptoid_t,BRBR_t1,LYER_t1,Ptoid_t1,fweek,Biomass_g_t1,No_Plants,Biomass_g
20 C,2,0,0,1,1,AOP2_AOP2.gsoh,1,0,4,4,0,24,8,0,0,0.7725000000000001,8,0.6180000000000001
20 C,2,0,0,1,1,AOP2_AOP2.gsoh,1,1,24,8,0,54,79,0,1,0.927,8,0.7725000000000001
20 C,2,0,0,1,1,AOP2_AOP2.gsoh,1,2,54,79,2,375,565,1,2,1.997,8,0.927
20 C,2,0,0,1,1,AOP2_AOP2.gsoh,1,3,375,565,3,430,130,22,3,0.949,8,1.997
20 C,2,0,0,1,1,AOP2_AOP2.gsoh,1,4,430,130,22,295,150,55,4,0.849,8,0.949
20 C,2,0,0,1,1,AOP2_AOP2.gsoh,1,5,295,150,55,42,35,147,5,0.846,8,0.849
20 C,2,0,0,1,1,AOP2_AOP2.gsoh,1,6,42,35,147,0,0,14,6,1.11,8,0.846
20 C,2,0,0,1,1,AOP2_AOP2.gsoh,1,7,0,0,14,0,0,0,7,1.631,8,1.11
20 C,2,0,0,1,1,AOP2_AOP2.gsoh,1,8,0,0,0,0,0,0,8,0.653,8,1.631
20 C,2,0,0,1,1,AOP2_AOP2.gsoh,1,9,0,0,0,0,0,0,9,1.059,8,0.653
20 C,2,0,0,1,1,AOP2_AOP2.gsoh,1,10,0,0,0,0,0,0,10,1.344,8,1.059
20 C,2,0,0,1,1,AOP2_AOP2.gsoh,1,11,0,0,0,0,0,0,11,1.049,8,1.344
20 C,2,0,0,1,1,AOP2_AOP2.gsoh,1,12,0,0,0,0,0,0,12,0.964,8,1.049
20 C,2,0,0,1,1,AOP2_AOP2.gsoh,1,13,0,0,0,0,0,0,13,1.092,7,0.964
20 C,2,0,0,1,1,AOP2_AOP2.gsoh,1,14,0,0,0,0,0,0,14,0.559,8,1.092
20 C,2,0,0,1,1,AOP2_AOP2.gsoh,1,15,0,0,0,0,0,0,15,0.411,7,0.559
20 C,2,0,0,1,1,AOP2_AOP2.gsoh,1,16,0,0,0,0,0,0,16,0.925,7,0.411
20 C,4,1,1,1,1,Poly,2,0,4,4,0,52,16,0,0,1.2333333333333334,8,0.9866666666666667
20 C,4,1,1,1,1,Poly,2,1,52,16,0,134,142,0,1,1.48,8,1.2333333333333334
20 C,4,1,1,1,1,Poly,2,2,134,142,2,570,445,1,2,2.347,8,1.48
20 C,4,1,1,1,1,Poly,2,3,570,445,3,327,205,37,3,0.988,8,2.347
20 C,4,1,1,1,1,Poly,2,4,327,205,37,255,80,24,4,1.215,8,0.988
20 C,4,1,1,1,1,Poly,2,5,255,80,24,95,50,85,5,1.229,8,1.215
20 C,4,1,1,1,1,Poly,2,6,95,50,85,155,95,120,6,1.191,8,1.229
20 C,4,1,1,1,1,Poly,2,7,155,95,120,30,10,55,7,2.193,8,1.191
20 C,4,1,1,1,1,Poly,2,8,30,10,55,0,0,2,8,2.124,8,2.193
20 C,4,1,1,1,1,Poly,2,9,0,0,2,0,0,3,9,1.034,8,2.124
20 C,4,1,1,1,1,Poly,2,10,0,0,3,0,0,0,10,1.682,8,1.034
20 C,4,1,1,1,1,Poly,2,11,0,0,0,0,0,0,11,0.958,8,1.682
20 C,4,1,1,1,1,Poly,2,12,0,0,0,0,0,0,12,1.421,8,0.958
20 C,4,1,1,1,1,Poly,2,13,0,0,0,0,0,0,13,1.339,8,1.421
